Ranking,User,Model,Results,Mean Reward,Std Reward
252,NikitaBaramiia,NikitaBaramiia/PPO-LunarLander-v2-1,276.44,290.89,14.45
253,Sarah13,Sarah13/ppo-LunarLander-v2,276.37,291.64,15.27
254,basboot,basboot/ppo-LunarLander-v2,276.34999999999997,293.01,16.66
255,Bonosa2,Bonosa2/ppo-LunarLander-v2,276.34,288.06,11.72
256,sagarsdesai,sagarsdesai/PPO-LunarLander-v2,276.26000000000005,289.79,13.53
257,pyflynn,pyflynn/ppo-LunarLander-v2,276.23,291.1,14.87
258,devetle,devetle/Test2ppo-LunarLander-v2,276.23,291.63,15.4
259,gweegenaar,gweegenaar/ppo-LunarLander-v2,276.21,290.62,14.41
260,situlla,situlla/ppo-LunarLander-v2,276.16,292.79,16.63
261,ShaileshAppukuttan,ShaileshAppukuttan/ppo-LunarLander-v2,276.09,288.44,12.35
262,EvaOr,EvaOr/deepRL_chp1_LunarLander_ppo,276.07,291.87,15.8
263,gael1130,gael1130/pushing-test,276.0,291.13,15.13
264,camiloss,camiloss/ppo-LunarLander-v2,276.0,287.76,11.76
265,Anasmob,Anasmob/ppo-LunarLander-v2,275.96999999999997,294.46,18.49
266,dyingc,dyingc/LunarLander-v2,275.93,292.55,16.62
267,nadirbekovnadir,nadirbekovnadir/LunarLander,275.90999999999997,286.34,10.43
268,bemc22,bemc22/ppo-luna-lander-mark-i,275.81,288.66,12.85
269,legalaspro,legalaspro/ppo-LunarLander-v2,275.77,293.8,18.03
270,andli28,andli28/ppo-LunarLander-v2,275.76,298.44,22.68
271,allintky,allintky/ppo-LunarLander-v2,275.76,291.5,15.74
272,agathanonymous,agathanonymous/ppo-LunarLander-v2,275.71999999999997,291.71,15.99
273,omikhailovskii,omikhailovskii/ppo-LunarLander-v2,275.71,295.62,19.91
274,HCho,HCho/ppo-LunarLander-v2,275.67999999999995,293.15,17.47
275,cha5yn,cha5yn/PP0LunarLanderV2,275.62,285.99,10.37
276,groovyda17,groovyda17/ppo-LunarLander-v2,275.59,295.78,20.19
277,mokryak,mokryak/ppo-LunarLander-v2,275.56,292.82,17.26
278,Mihail-P,Mihail-P/ppo-LunarLander-v2_ppo,275.56,290.12,14.56
279,Snorlax,Snorlax/LunarLander-v2-PPO-reproduce,275.54,290.75,15.21
280,catcatcat3,catcatcat3/PPO-LunarLander-v2,275.53,294.32,18.79
281,FardinAfdideh,FardinAfdideh/ppo-LunarLander-v2,275.45,287.8,12.35
282,Cheekydave,Cheekydave/PPO-LL2,275.41,287.22,11.81
283,davidrd123,davidrd123/ppo-LunarLander-v2_try_11,275.37,285.63,10.26
284,ksaml,ksaml/ppo-LunarLander-v2,275.35,289.1,13.75
285,ShailSharma2001,ShailSharma2001/ppo-LunarLander-v2,275.33000000000004,291.92,16.59
286,RylonW,RylonW/ppo-LunarLander-v4,275.26,286.19,10.93
287,Wikked,Wikked/ppo-LunarLander-v2,275.23,289.66,14.43
288,arampacha,arampacha/LunarLander-v2-ppo,275.22,292.17,16.95
289,Jackmin108,Jackmin108/ppo1-LunarLander-v2,275.21999999999997,292.83,17.61
290,Hansespinosa2,Hansespinosa2/PPO-LunarLander-V2,275.21000000000004,289.8,14.59
291,esperesa,esperesa/ppo-LunarLander-v2,275.16999999999996,291.89,16.72
292,roninai1,roninai1/ppo-LunarLander-v2,275.14,290.06,14.92
293,nigelyeap,nigelyeap/ppo-LunarLander-v2,275.14,289.32,14.18
294,6001k1d,6001k1d/PPO-LunarLander-v2,275.13,292.87,17.74
295,Sami,Sami/PPO-LunarLander-v2,275.11,292.63,17.52
296,NethamTSG,NethamTSG/ppo-LunarLander-v4,275.11,291.25,16.14
297,einkai,einkai/ppo-LunarLander-v2,275.09000000000003,284.42,9.33
298,sgoodfriend,sgoodfriend/PPO-sb3-LunarLander-v2,275.07,290.45,15.38
299,terrenceou,terrenceou/rl_course_unit1,275.06,287.7,12.64
300,matt-guay,matt-guay/PPO-LunarLander-v2-4,275.03,291.75,16.72
301,siemr,siemr/LunarLander,275.0,291.72,16.72
302,mnpinto,mnpinto/TEST2ppo-LunarLander-v2,275.0,291.67,16.67
303,JimPete79,JimPete79/ppo-LunarLander-v2,274.96000000000004,288.48,13.52
304,uvd174,uvd174/baseline-ppo-LunarLander-v2,274.95000000000005,291.42,16.47
305,ra9hu,ra9hu/UT1-LunarLander-v2,274.94,289.49,14.55
306,kzipa,kzipa/ppo-LunarLander-v2-TEST,274.92,296.13,21.21
307,dfm794,dfm794/ppo-LunarLander-v2,274.90000000000003,285.86,10.96
308,kylejryan,kylejryan/ppo-LunarLander-v2,274.82,293.64,18.82
309,GGunjan,GGunjan/ppo-LunarLander,274.81,289.05,14.24
310,adhisetiawan,adhisetiawan/LunarLander-v2,274.8,287.95,13.15
311,shahafw,shahafw/ppo-lunarlanderV2,274.78000000000003,293.62,18.84
312,tylerkiser,tylerkiser/ppo-LunarLander-v4,274.73,289.04,14.31
313,rr3khan,rr3khan/ppo-LunarLander-v2,274.71000000000004,292.35,17.64
314,josef-o,josef-o/llv2,274.69000000000005,292.22,17.53
315,ScrappyCoco666,ScrappyCoco666/ppo-LunarLander-v2-2,274.68,289.76,15.08
316,CocosNucifera,CocosNucifera/ppo-LunarLander-v2.1,274.68,298.67,23.99
317,lgbird,lgbird/ppo-LunarLander,274.59000000000003,291.62,17.03
318,dassum,dassum/ppo-LunarLander-v2,274.57,295.51,20.94
319,gregtozzi,gregtozzi/ppo-LunarLander-v2-3,274.54,292.99,18.45
