Ranking,User,Model,Results,Mean Reward,Std Reward
3236,billwong1220,billwong1220/ppo-mlp,247.61999999999998,268.71,21.09
3237,babakc,babakc/ppo-LunarLander-v2,247.60999999999999,259.76,12.15
3238,Mavila,Mavila/First_DRL,247.58,261.12,13.54
3239,Kraaven,Kraaven/ppo-LunarLanderV2_Test,247.58,262.24,14.66
3240,kebaheti98,kebaheti98/ppo-LunarLander-v2,247.57999999999998,267.58,20.0
3241,ostromoldave,ostromoldave/ppo-LunarLander-v2,247.57000000000002,272.16,24.59
3242,itsdhanoob,itsdhanoob/lunar_lander,247.57000000000002,272.11,24.54
3243,vivixzc,vivixzc/ppo-LunarLander-v2,247.56000000000003,268.79,21.23
3244,Vorlde,Vorlde/ppo-LunarLander-v2,247.56000000000003,265.41,17.85
3245,trtkiet,trtkiet/LunarLander_1,247.56,261.7,14.14
3246,Misha24-10,Misha24-10/TEST2ppo-LunarLander-v4,247.56,270.61,23.05
3247,nm2890,nm2890/ppo-LunarLander-v2,247.55999999999997,269.52,21.96
3248,castejon777,castejon777/PPO-LunarLander-v2,247.55999999999997,263.78,16.22
3249,flydsc,flydsc/first-ppo-LunarLander-v2,247.55,264.3,16.75
3250,fermaat,fermaat/ppo-LunarLander-v2,247.55,261.8,14.25
3251,ah-mad,ah-mad/ppo-LunarLander-v2,247.55,270.98,23.43
3252,qgallouedec,qgallouedec/dqn-LunarLander-v2-1838663162,247.54,268.31,20.77
3253,lost-without-cause,lost-without-cause/ppo-LunarLander-v2,247.51999999999998,269.32,21.8
3254,kkkaai,kkkaai/ppo-LunarLander-v2,247.51999999999998,267.33,19.81
3255,cmattoon,cmattoon/ppo-LunarLander-v2,247.51999999999998,266.77,19.25
3256,pcapp,pcapp/ppo-LunarLander-v2,247.50999999999996,262.28,14.77
3257,harshadbhatia,harshadbhatia/LunarLander-v2-ppo,247.50999999999996,262.84,15.33
3258,thesachari,thesachari/ppo-LunarLander-v2,247.49,264.31,16.82
3259,jmeneu,jmeneu/ppo-LunarLander-v2,247.47000000000003,267.05,19.58
3260,AishwaryaH9,AishwaryaH9/ppo-LunarLander-v2,247.47,271.63,24.16
3261,astrollin,astrollin/ppo-LunarLander-v2,247.46999999999997,268.33,20.86
3262,SaudxInu,SaudxInu/PPO-LunarLander-v2,247.46,265.49,18.03
3263,ledeus,ledeus/ppo-LunarLander-v2,247.45999999999998,267.95,20.49
3264,Neerajvibez,Neerajvibez/ppo-LunarLander-v2,247.45999999999998,274.57,27.11
3265,gabrielnichio,gabrielnichio/lunar-lander,247.45000000000002,266.99,19.54
3266,paularusti78,paularusti78/Moon-Landing-v1,247.44000000000003,263.97,16.53
3267,mikerjacobi,mikerjacobi/ppo-LunarLander-v2,247.44000000000003,260.04,12.6
3268,willnguyen,willnguyen/ppo-LunarLander-v2,247.44,265.82,18.38
3269,kenghin-chuah,kenghin-chuah/ppo-LunarLander-v2,247.44,256.26,8.82
3270,jR007,jR007/ppo-LunarLander-v2,247.44,263.32,15.88
3271,peggia,peggia/ppo-LunarLander-v2,247.43999999999997,262.21,14.77
3272,pchiva,pchiva/PPO-LunarLander-v2,247.41,266.18,18.77
3273,msthil,msthil/RL_CLASS_PPO_UNIT1,247.41,266.82,19.41
3274,xFranco99,xFranco99/rl-course,247.39999999999998,265.95,18.55
3275,chaholl,chaholl/ppo-LunarLander-v2,247.39000000000001,263.61,16.22
3276,cochaviz,cochaviz/ppo-LunarLander-v2,247.39,272.15,24.76
3277,scmarinelli,scmarinelli/ppo-LunarLander-v2,247.38,265.52,18.14
3278,AlkQ,AlkQ/ppo-LunarLander-v2,247.38,264.74,17.36
3279,Viku06,Viku06/ppo-LunarLander-v2,247.36999999999998,263.39,16.02
3280,synthmonad,synthmonad/ppo-LunarLander-v2,247.36,272.04,24.68
3281,ausboss,ausboss/LunarLander,247.36,276.17,28.81
3282,macb,macb/ppo-LunarLander-v2,247.35999999999999,268.39,21.03
3283,spectraldecomp,spectraldecomp/ppo-LunarLander-v2,247.35000000000002,260.29,12.94
3284,AlexDLP,AlexDLP/ppo-LunarLander-v2,247.34999999999997,264.77,17.42
3285,nondevs,nondevs/TEST2ppo-LunarLander-v2,247.32999999999998,270.0,22.67
3286,akudrinsky,akudrinsky/ppo-LunarLander-v2,247.32999999999998,262.03,14.7
3287,wasssabi365,wasssabi365/ppoLunarLander-v2,247.31,267.73,20.42
3288,VinEuro,VinEuro/LunarLanderv2,247.31,270.95,23.64
3289,P68,P68/ppo-LunarLander-v2,247.31,271.95,24.64
3290,KameshRsk,KameshRsk/PPO-Lunar-Lander,247.31,267.56,20.25
3291,me1nna,me1nna/ppo-lunarlander,247.30999999999997,262.46,15.15
3292,lspahija,lspahija/ppo-LunarLander-v2,247.29999999999998,266.71,19.41
3293,Ryu-m0m,Ryu-m0m/ppo-LunarLander-v2,247.29999999999998,265.4,18.1
3294,tangfan,tangfan/ppo-LunarLander-v2,247.28999999999996,270.84,23.55
3295,M0F0IAm,M0F0IAm/unit1,247.28,263.8,16.52
3296,Anubhav-tripathi,Anubhav-tripathi/ppo-LunarLander-v2,247.28,265.25,17.97
3297,chrisght,chrisght/ppo-LunarLander-v2,247.26999999999998,264.96,17.69
3298,Sleimanba,Sleimanba/LunarLander,247.26999999999998,265.01,17.74
3299,SashaViatkin,SashaViatkin/ppo-LunarLander-v2,247.26000000000002,263.42,16.16
3300,AdityaNerpagar,AdityaNerpagar/LunarLander,247.26000000000002,264.67,17.41
3301,SamartIT,SamartIT/ppo-LunarLander-v2,247.26,268.95,21.69
3302,pasto2003,pasto2003/ppo-LunarLander-v2,247.25,270.68,23.43
3303,ubiest,ubiest/ppo-LunarLanderr-v2,247.24,265.06,17.82
3304,aljaziz,aljaziz/ppo-LunarLander-v2,247.22,265.45,18.23
3305,shinben0327,shinben0327/ppo-LunarLander-v2,247.21999999999997,259.28,12.06
3306,nazrulnsu,nazrulnsu/ppo-LunarLander-v2,247.21999999999997,264.02,16.8
3307,EmirhanExecute,EmirhanExecute/ppo-LunarLander-try2,247.21999999999997,263.15,15.93
3308,shamekhjr,shamekhjr/ppo-LunarLander-v2,247.20999999999998,272.33,25.12
3309,hugging-ecaf,hugging-ecaf/ppo-LunarLander-v2,247.20999999999998,265.15,17.94
3310,diegocp01,diegocp01/ppo-LunarLander-v2,247.2,260.63,13.43
3311,Bailefan,Bailefan/ppo-LunarLander,247.2,268.52,21.32
3312,wjh70301,wjh70301/LunarLander-v2,247.19,262.01,14.82
3313,myklicious,myklicious/ppo-LunarLander-v2,247.18999999999997,268.4,21.21
3314,hahanbyul,hahanbyul/ppo-LunarLander-v2,247.18000000000004,260.72,13.54
3315,akhaira,akhaira/ppo-LunarLander-v2,247.17999999999998,261.7,14.52
3316,jimmitjoo,jimmitjoo/ppo-lunarlander,247.17000000000002,264.99,17.82
3317,karl-li-li-karl,karl-li-li-karl/ppo-LunarLander-v2,247.17,267.4,20.23
3318,nnaxor,nnaxor/ppo-LunarLander-v2,247.16,264.94,17.78
3319,rahulsnkr,rahulsnkr/ppo-LunarLander-v2,247.15,263.24,16.09
3320,FacuPintos,FacuPintos/ppo-LunarLander,247.14000000000004,266.47,19.33
3321,renee127,renee127/ppo-LunarLander-v2,247.14,261.28,14.14
3322,Pumin1,Pumin1/ppo-LunarLander-v2,247.14,267.15,20.01
3323,nhouben,nhouben/ppo-LunarLander-v2,247.13000000000002,266.6,19.47
3324,VinodReddy29,VinodReddy29/ppo-LunarLander,247.12999999999997,262.96,15.83
3325,Astromium,Astromium/ppo-LunarLander-v2,247.11999999999998,267.39,20.27
3326,glebvyazov,glebvyazov/LunarLander-v2,247.11,266.86,19.75
3327,bitwild,bitwild/ppo-LunarLander-v2,247.10999999999999,259.88,12.77
3328,prasanthntu,prasanthntu/ppo-LunarLander-v2,247.1,271.58,24.48
3329,conlan,conlan/ppo-LunarLander-v2,247.1,271.01,23.91
3330,alekom,alekom/ppo-LunarLander-v2,247.09999999999997,261.53,14.43
3331,JulianZas,JulianZas/ppo-LunarLander-v1,247.08000000000004,271.41,24.33
3332,JoseSM,JoseSM/ppo-LunarLander-v2,247.08,265.86,18.78
3333,Muddassir,Muddassir/RL-Unit1,247.07999999999998,269.63,22.55
3334,hectorjelly,hectorjelly/ppo-LunarLander-v2,247.07000000000002,268.23,21.16
3335,elisamammi,elisamammi/ppo-LunarLander-v2,247.07000000000002,268.42,21.35
3336,robertpassmann,robertpassmann/ppo-LunarLander-v2,247.07,258.44,11.37
3337,o4,o4/ppo-LunarLander-v2,247.06,267.23,20.17
3338,martomor,martomor/ppo1-LunarLander-v2,247.06,264.19,17.13
3339,Pongsaky,Pongsaky/ppo-LunarLander-first,247.05999999999997,268.96,21.9
3340,xaturn,xaturn/ppo-LunarLander-v2,247.05,260.87,13.82
3341,lutzvdb,lutzvdb/ppo-LunarLander-v2,247.05,257.62,10.57
3342,PedroPlusPlus,PedroPlusPlus/ppo-LunarLander-v2,247.05,273.93,26.88
3343,phoenixaiden33,phoenixaiden33/ppo-LunarLander-v2_01,247.04999999999998,265.84,18.79
3344,manmeet3591,manmeet3591/ppo-LunarLander-v2,247.04999999999998,269.89,22.84
3345,eLarry,eLarry/ppo-LunarLander-v2,247.03,268.05,21.02
3346,arshpareek,arshpareek/ppo-LunarLander-v2-part1,247.02000000000004,264.6,17.58
3347,aienthused,aienthused/ppo-LunarLander-v2-test,247.01,265.33,18.32
3348,harryb0905,harryb0905/ppo-LunarLander-v2-1-million,247.00000000000003,265.29,18.29
3349,tcottone,tcottone/ppo-LunarLander-v2,247.0,264.75,17.75
3350,robpitkin,robpitkin/ppo-LunarLander-v2,246.99,267.66,20.67
3351,cj-mills,cj-mills/ppo-LunarLander-v2,246.99,268.12,21.13
3352,ahGadji,ahGadji/ppo-LunarLander-v2,246.99,263.3,16.31
3353,Bebrus,Bebrus/ppo-LunarLander-v2,246.97999999999996,264.84,17.86
3354,aebii,aebii/ppo-LunarLander-v2,246.97000000000003,266.6,19.63
3355,karthikvenkataraman,karthikvenkataraman/hf-reinforcement-learning,246.97,266.12,19.15
3356,xiang0921,xiang0921/ppo-LunarLander-v2,246.96,264.19,17.23
3357,sasiprasanth,sasiprasanth/sb3-lunar-lander,246.96,262.13,15.17
3358,thisiswooyeol,thisiswooyeol/ppo-LunarLander-v2,246.95999999999998,265.38,18.42
3359,martinl5,martinl5/ppo-LunarLandar-v2,246.95999999999998,265.77,18.81
3360,SAL83,SAL83/ppo-LundarLander-v2,246.95999999999998,269.7,22.74
3361,trevdoc,trevdoc/ppo-LunarLander-v2,246.95000000000002,268.73,21.78
3362,gian-cr,gian-cr/ppo-LunarLander-v2,246.95,263.14,16.19
3363,ykdi,ykdi/ppo-LunarLander-v2,246.93,264.69,17.76
3364,Yangkt,Yangkt/PPO-LunarLander-V2.0,246.93,266.04,19.11
3365,flowerpot76,flowerpot76/ppo-LunarLander-v2,246.92999999999998,267.89,20.96
3366,LukeSajkowski,LukeSajkowski/ppo-lukee-LunarLander-v2,246.92999999999998,266.02,19.09
3367,cheremushkin,cheremushkin/ppo-LunarLander-v2,246.92000000000002,265.0,18.08
3368,Chepell,Chepell/ppo-LunarLander-v2,246.92000000000002,271.55,24.63
3369,Implei,Implei/ppo-LunarLander-v2,246.92,265.44,18.52
3370,perc3ptr0n,perc3ptr0n/ppo-lunar-lander-v1,246.91000000000003,262.73,15.82
3371,Inespinoza,Inespinoza/PPO-LunarLander-V0,246.91,266.57,19.66
3372,josesabater,josesabater/rl,246.9,266.19,19.29
3373,piotrklima,piotrklima/ppo-LunarLander-v2,246.89,260.77,13.88
3374,benedikt-schaber,benedikt-schaber/ppo-LunarLander-v2,246.89,266.63,19.74
3375,Innerby,Innerby/ppo-LunarLander-v2,246.88000000000002,260.79,13.91
3376,uni-zhuan,uni-zhuan/ppo-LunarLander-v2,246.87999999999997,269.34,22.46
3377,iamnewbie,iamnewbie/ppo-LunarLander-v2,246.87000000000003,265.16,18.29
3378,iubeda,iubeda/ppo-LunarLander-v2,246.87,263.36,16.49
3379,supertime1,supertime1/ppo-LunarLander-v2,246.86999999999998,259.2,12.33
3380,hsuyab,hsuyab/ppo-LunarLander-v2,246.86,262.93,16.07
3381,RisiPisi,RisiPisi/lunarlander,246.86,260.11,13.25
3382,Vputz,Vputz/ppo-LunarLander-v2,246.84999999999997,262.78,15.93
3383,Pyjama12,Pyjama12/ppo-LunarLander-v2,246.84,264.56,17.72
3384,DennisSoemers,DennisSoemers/PPO-LunarLander-v2,246.84,270.61,23.77
3385,timjwhite,timjwhite/TimsPPOLander,246.83999999999997,268.33,21.49
3386,somasx,somasx/ppo-LunarLander-v2,246.83,260.23,13.4
3387,dsupa,dsupa/ppo-LunarLander-v2,246.83,267.74,20.91
3388,MStarn,MStarn/ppo-LunarLander-V2i,246.82999999999998,262.33,15.5
3389,staryesh,staryesh/ppo-LunarLander-v2,246.82000000000002,263.48,16.66
3390,farrison-hord,farrison-hord/ppo-lunar-lander-v2,246.82000000000002,264.54,17.72
3391,albseverus,albseverus/ppo-LunarLander-v2-v4,246.82,266.15,19.33
3392,TPK-MAKG,TPK-MAKG/ppo-LunarLander-v2,246.81000000000003,266.72,19.91
3393,FBM,FBM/ppo-LunarLander-v2,246.81000000000003,264.47,17.66
3394,I1v2i3v4,I1v2i3v4/ppo-LunarLander-v2,246.81,265.86,19.05
3395,MohaK,MohaK/ppo-LunarLander-v2,246.8,266.73,19.93
3396,Edu4000,Edu4000/ppo-MoonLanding-v2,246.79,263.5,16.71
3397,alibov,alibov/PPOLunarLander-v2,246.78000000000003,273.6,26.82
3398,quangnhat,quangnhat/HugFace001,246.78,263.18,16.4
3399,abhashpr,abhashpr/ppo-LunarLander-v2,246.78,262.37,15.59
3400,martinnnnn,martinnnnn/ppo-LunarLander-v2,246.77999999999997,266.64,19.86
3401,draziert,draziert/ppo-LunarLander-v2,246.77999999999997,267.08,20.3
3402,crazycog,crazycog/ppo-LunarLander-v2-TEST,246.77999999999997,268.03,21.25
3403,Steeve,Steeve/ppo-LunarLander-v2,246.77,267.73,20.96
3404,KushalRamaiya,KushalRamaiya/ppo-LunarLander-v2-try1,246.76999999999998,265.78,19.01
3405,rebaiAhmad,rebaiAhmad/moonlander,246.76000000000002,262.47,15.71
3406,jcinque,jcinque/ppo-LunarLander-v2,246.76000000000002,268.91,22.15
3407,iraf,iraf/ppo-LunarLander-v2,246.76,261.57,14.81
3408,james0248,james0248/ppo-LunarLander-v1,246.75,265.2,18.45
3409,guillealedo,guillealedo/ppo-LunarLander-v2,246.75,263.36,16.61
3410,calvincbzhang,calvincbzhang/ppo-LunarLander-v2,246.75,260.64,13.89
3411,yunhooooo,yunhooooo/ppo-LunarLander-v2,246.74,274.17,27.43
3412,jfjensen,jfjensen/ppo-LunarLander-v2,246.74,269.3,22.56
3413,perrycision,perrycision/ppo-LunarLander-v2,246.73999999999998,263.2,16.46
3414,Bahin,Bahin/lunardr,246.73999999999998,267.7,20.96
3415,ditwoo,ditwoo/PPO-LunarLander-v2,246.73,264.13,17.4
3416,singhalpranav22,singhalpranav22/ppo-LunarLander-v2,246.72,262.88,16.16
3417,ashcher51,ashcher51/ppo-LunarLander-v2,246.72,263.76,17.04
3418,Neomedallion,Neomedallion/Unit1_2024,246.72,265.56,18.84
3419,Armega,Armega/ppo-LunarLander-v2,246.72,260.24,13.52
3420,newfacade,newfacade/ppo-LunarLander-v2,246.71,264.43,17.72
3421,Smone55,Smone55/ppo-LunarLander-v2,246.71,266.62,19.91
3422,danmorris427,danmorris427/ppo-LunarLander-v2,246.70000000000002,271.91,25.21
3423,Tinybobo,Tinybobo/LunarLander-v2,246.7,266.63,19.93
3424,HaseebArshad786,HaseebArshad786/LunarLander,246.7,268.4,21.7
3425,ku8885,ku8885/ppo-LunarLander-v2,246.68,265.13,18.45
3426,Rock910,Rock910/ppo-LunarLander-v2,246.67999999999998,260.09,13.41
3427,ujd67,ujd67/DRL,246.67000000000002,265.3,18.63
3428,brennonatal,brennonatal/ppo-LunarLander-v2,246.67,265.96,19.29
3429,Rocinante,Rocinante/ppo-LunarLander-v2,246.65999999999997,265.33,18.67
3430,IderieRin,IderieRin/ppo-LunarLander-v2,246.62,265.76,19.14
3431,saicpp,saicpp/sb3_hf_drl_course_unit1,246.61,268.48,21.87
3432,michalcisek5,michalcisek5/PPO-LunarLander-v2,246.61,268.3,21.69
3433,madhavgarg,madhavgarg/ppo-LunarLander-v2,246.61,268.49,21.88
3434,jainamk,jainamk/LunarLander-v2,246.60999999999999,262.83,16.22
3435,ephesosx,ephesosx/ppo-LunarLander-v2,246.60999999999999,267.76,21.15
3436,kupru,kupru/ppo-LunarLander-v2,246.60000000000002,267.35,20.75
3437,Lizzrn,Lizzrn/ppo-LunarLander-v2,246.60000000000002,265.72,19.12
3438,MorganWKen,MorganWKen/ppo-LunarLander-v5,246.59000000000003,266.17,19.58
3439,kupman99,kupman99/ppo-LunarLander-v2,246.59,260.94,14.35
3440,arnabmukherjee,arnabmukherjee/ppo-LunarLander-v2,246.57,267.74,21.17
3441,thor-x-me,thor-x-me/PPO-LunarLander-v2,246.55,265.74,19.19
3442,AnAmbitiousMonk,AnAmbitiousMonk/ppo-LunarLander-v4,246.55,266.0,19.45
3443,MaxPlanck59,MaxPlanck59/lunar_lander_v2_ppo,246.54,264.06,17.52
3444,Reyhaneh2001,Reyhaneh2001/model_by_PPO,246.52999999999997,266.39,19.86
3445,AtobeYanlin,AtobeYanlin/LunarLander,246.52,263.23,16.71
3446,tshinkle,tshinkle/ppo-LunarLander-v2,246.51999999999998,265.52,19.0
3447,chen3368,chen3368/RLModels,246.51000000000002,264.66,18.15
3448,samuraibosky,samuraibosky/ppo-LunarLander-v2,246.51,266.33,19.82
3449,michael20at,michael20at/ppo-LunarLander-v2,246.5,261.95,15.45
3450,usmanasademe,usmanasademe/ppo-LunarLander-v2,246.49,267.07,20.58
3451,tugrulhkarabulut,tugrulhkarabulut/rl-course,246.49,265.29,18.8
3452,OpenDILabCommunity,OpenDILabCommunity/LunarLander-v2-DDPG,246.48999999999998,264.9,18.41
3453,raulgadea,raulgadea/ppo-LunarLander-v2,246.48000000000002,259.93,13.45
3454,Genrry,Genrry/ppo-LunarLander-v2,246.48000000000002,268.35,21.87
3455,OubeidAllahjb,OubeidAllahjb/ppo-LunarLander-v2,246.46999999999997,267.03,20.56
3456,SamaOkasha,SamaOkasha/ppo-LunarLander-v2,246.46,268.05,21.59
3457,cascadenite,cascadenite/ppo-LunarLander-v2,246.45999999999998,272.65,26.19
3458,pakelley,pakelley/ppo-LunarLander-v2,246.45000000000002,261.3,14.85
3459,tin-man,tin-man/ppo-LunarLander-v2,246.45,259.82,13.37
3460,Jbbok,Jbbok/LunarLander-v2,246.44,267.07,20.63
3461,irik999,irik999/ppo-LunarLander-v2,246.43,266.35,19.92
3462,fjaragones,fjaragones/ppo-LunarLander-v2,246.43,266.17,19.74
3463,igorvln,igorvln/ppo-LunaLander-v2,246.42999999999998,269.14,22.71
3464,aardvarkjon,aardvarkjon/ppo-LunarLander-v2,246.42000000000002,265.99,19.57
3465,Restituor-Orbis,Restituor-Orbis/Lunar-Lander,246.42000000000002,265.3,18.88
3466,vierlinglukas,vierlinglukas/PPO-LunarLander-v2,246.41000000000003,263.99,17.58
3467,SafiaFatima,SafiaFatima/ppo-LunarLander-v2,246.41000000000003,265.67,19.26
3468,v4vardhan,v4vardhan/ppo-LunarLander-v2,246.41,256.2,9.79
3469,rodri2023,rodri2023/ppo-LunarLander-v2,246.41,263.01,16.6
3470,one-thing,one-thing/ppo-LunarLander-v2,246.41,261.63,15.22
3471,FutureDesire,FutureDesire/ppo-LunarLander-v2,246.41,268.06,21.65
3472,ramsi-k,ramsi-k/ppo2-LunarLander-v2,246.39999999999998,263.53,17.13
3473,volverine,volverine/ppo-LunarLander-v2,246.39000000000001,261.99,15.6
3474,leaky-Q-ReLU,leaky-Q-ReLU/ppo-LunarLander-v2,246.38000000000002,268.92,22.54
3475,dattienle2573,dattienle2573/ppo-LunarLander-v2,246.38,263.05,16.67
3476,fgeyer,fgeyer/ppo-LunarLander-v2,246.37,267.67,21.3
3477,lockylocks,lockylocks/ppo-LunarLander-v2,246.35999999999999,267.83,21.47
3478,hsndldl,hsndldl/ppo_Lunarlander_v2,246.35000000000002,260.74,14.39
3479,JJJJerry,JJJJerry/ppo-LunarLander-v2,246.35,259.64,13.29
3480,aldebaran05,aldebaran05/ppo-LunarLander-v2,246.34,263.61,17.27
3481,ilaidabush,ilaidabush/ppo-lunar-lander-v2,246.33999999999997,263.7,17.36
3482,viper08,viper08/ppo-LunarLander-v2,246.33,267.98,21.65
3483,Tonio-V98T,Tonio-V98T/ppo-LunarLander-v2,246.33,264.24,17.91
3484,D3MI4N,D3MI4N/ppo-LunarLander-v2,246.33,260.85,14.52
3485,itskaile,itskaile/ppo-LunarLander-v2,246.31000000000003,265.6,19.29
3486,rahul-t-p,rahul-t-p/ppo-LunarLander-v2,246.31,269.11,22.8
3487,QMMMS,QMMMS/ppo-LunarLander-v2,246.31,267.49,21.18
3488,anuragsaroha,anuragsaroha/ppo-LunarLander-v2,246.30999999999997,268.83,22.52
3489,fx815,fx815/ppo-LunarLander-v2,246.29999999999998,260.4,14.1
3490,Jyotsna945,Jyotsna945/ppo_LunarLander-v2,246.28,271.43,25.15
3491,DeliciousRamen,DeliciousRamen/ppo-LunarLander-v2,246.28,262.63,16.35
3492,JasperDekoninck,JasperDekoninck/ppo-LunarLander-v2,246.27999999999997,260.59,14.31
3493,totsunemario,totsunemario/ppo-LunarLander-v2,246.27,261.6,15.33
3494,madoe001,madoe001/ppo-LunarLander-v2,246.26,271.45,25.19
3495,ashrielbrian,ashrielbrian/popolice-LunarLander-v2,246.25,264.06,17.81
3496,saurabhjha1,saurabhjha1/ppo-LunarLander-v2,246.24,270.67,24.43
3497,gballardin,gballardin/ppo-LunarLander-v2,246.23000000000002,263.22,16.99
3498,akerberenes,akerberenes/pop-LunaLander-v2,246.23000000000002,268.37,22.14
3499,CyberKing,CyberKing/ppo-LunarLander-v2,246.23,265.83,19.6
3500,victorjmarin,victorjmarin/ppo-LunarLander-v2,246.22999999999996,267.65,21.42
3501,Matiki,Matiki/ppo-LunarLander-v2-2,246.22,267.45,21.23
3502,YisusLn,YisusLn/my-first-model-ppo-LunarLander-v2,246.21999999999997,263.71,17.49
3503,rpant,rpant/ppo-LunarLander-v2,246.20999999999998,264.65,18.44
3504,OD,OD/ppo-LunarLander-v2,246.20000000000002,263.93,17.73
3505,XKMPP,XKMPP/ppo-LunarLander-v2,246.2,263.06,16.86
3506,pdejong,pdejong/ppo-LunarLander-v2,246.19000000000003,263.22,17.03
3507,wflying,wflying/ppo-LunarLander-v2,246.19,267.52,21.33
3508,MikhailKon,MikhailKon/TEST2ppo-LunarLander-v2,246.19,262.31,16.12
3509,jwalley,jwalley/jw-LunarLander-v2,246.18999999999997,260.03,13.84
3510,Lilth05,Lilth05/ppo-LunarLander-v2,246.16999999999996,267.09,20.92
3511,sekinat,sekinat/PPO-LunarLander-v2,246.16,263.95,17.79
3512,Rahmakh,Rahmakh/ppo-LunarLander-v2,246.16,259.0,12.84
3513,Nathaldien,Nathaldien/PPO-LunarLander-v2,246.16,264.94,18.78
3514,fx1H,fx1H/ppo-LunarLander-v2,246.15,259.86,13.71
3515,damingli09,damingli09/ppo-LunarLander-v2,246.14999999999998,263.46,17.31
3516,Kevin-Huang,Kevin-Huang/PPO-LunarLander-v2,246.13,263.69,17.56
3517,AdiKompella,AdiKompella/ppo-LunarLander-v2,246.13,262.14,16.01
3518,pranavdurai,pranavdurai/lunar-lander-rl-v1,246.10999999999999,261.15,15.04
3519,messerb5467,messerb5467/ppo-LunarLander-v2,246.10999999999999,264.83,18.72
3520,Lfcars,Lfcars/ppo-LunarLander-v2,246.1,263.12,17.02
3521,q-xZzz,q-xZzz/ppo-LunarLander-v2,246.09000000000003,256.98,10.89
3522,granolabar,granolabar/Lunar-test,246.09,260.42,14.33
3523,chainatao,chainatao/ppo-LunarLander-v2,246.09,271.12,25.03
3524,wyglauk,wyglauk/PPO-LunarLander-v2,246.07,268.44,22.37
3525,hickman2049,hickman2049/ppo-LunarLander-v2,246.07,263.82,17.75
3526,Fetanos,Fetanos/Reinforcement_Learning,246.06,266.23,20.17
3527,houssamhh,houssamhh/ppo-LunarLanderv2,246.05999999999997,259.27,13.21
3528,tlin,tlin/ppo-LunarLander-v2,246.05,263.61,17.56
3529,Segment139,Segment139/ppo-LunarLander-v2,246.05,264.63,18.58
3530,SungJinD,SungJinD/ppo-LunarLander-v2-optuna,246.04999999999998,268.2,22.15
3531,Meyssank,Meyssank/ppo-LunarLander-v2,246.04999999999998,270.33,24.28
3532,Sid26,Sid26/ppo-LunarLander-v2,246.03,253.28,7.25
3533,0ear,0ear/ppo-LunarLander-v2,246.03,266.87,20.84
3534,HamZurger,HamZurger/ppo-LunarLander-v2,246.02000000000004,257.22,11.2
3535,vitorhgomes,vitorhgomes/ppo-LunarLander-v2,246.01000000000002,267.67,21.66
3536,toddwilson147,toddwilson147/ppo-LunarLander-v2,246.01000000000002,264.86,18.85
3537,LC008,LC008/ppo2-LunarLander-v2,246.01000000000002,264.29,18.28
3538,AkitoP,AkitoP/ppo-LunarLander-v2,246.01000000000002,270.42,24.41
3539,Louth,Louth/ppo-LunarLander-v2,246.01,256.08,10.07
3540,dogukankartal,dogukankartal/ppo-LunarLander-v2,246.0,257.5,11.5
3541,ahndhreea,ahndhreea/ppo-LunarLander-v2,246.0,261.93,15.93
3542,Skanderbeg,Skanderbeg/ppo-LunarLander-v2,246.0,260.68,14.68
3543,KaungHtetCho,KaungHtetCho/ppo-LunarLander-v2,245.98,256.08,10.1
3544,jinsung5337,jinsung5337/ppo_lunarlander,245.97000000000003,258.92,12.95
3545,adyprat,adyprat/ppo-LunarLander-v2,245.97000000000003,266.47,20.5
3546,HarmlessFlower,HarmlessFlower/DRL_Course_Models,245.97,265.94,19.97
3547,Danielmartinez,Danielmartinez/ppo-LunarLander-v2,245.96,260.98,15.02
3548,Gurumoorthy,Gurumoorthy/PPO-LunarLander-v2,245.95999999999998,268.63,22.67
3549,lupoplon,lupoplon/rl-lunarlander,245.95,267.51,21.56
3550,gaokaobishuati,gaokaobishuati/ppo-LunarLander-v2,245.95,266.4,20.45
3551,ddkk11,ddkk11/ppo-LunarLander-v2_verion1,245.95,268.56,22.61
3552,SwamHtet,SwamHtet/ppo-LunarLander-v2,245.95,266.46,20.51
3553,HristoBuyukliev,HristoBuyukliev/RL_course,245.94000000000003,265.35,19.41
3554,enchan1,enchan1/ppo-lunarlander,245.94,266.64,20.7
3555,MJerome,MJerome/ppo-LunarLander-v2,245.94,263.26,17.32
3556,ptitty12,ptitty12/lunar1,245.93999999999997,263.46,17.52
3557,paranke,paranke/ppo-LunarLander,245.92000000000002,264.93,19.01
3558,Nguyens,Nguyens/ppo-lunar_landing_nguyens,245.92,264.19,18.27
3559,osma77,osma77/deep-rl,245.91000000000003,267.49,21.58
3560,abdel1311,abdel1311/ppo-LunarLander-v2,245.91000000000003,270.8,24.89
3561,gbarcik,gbarcik/ppo-LundarLander-v2,245.9,263.42,17.52
3562,audreyfeldroy,audreyfeldroy/ppo-LunarLander-v2,245.88000000000002,260.73,14.85
3563,joegolfs,joegolfs/ppo-LunarLander-v2,245.88,265.58,19.7
3564,bradrichardson,bradrichardson/ppo-lunarlander-v2,245.88,265.14,19.26
3565,Dantenator,Dantenator/ppo-LunarLander-v2,245.88,265.62,19.74
3566,jyunyilin,jyunyilin/ppo-LunarLander-v2,245.87,271.11,25.24
3567,faade,faade/ppo-LunarLander-v2,245.86999999999998,263.89,18.02
